Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_419.jpg;0;0.9614737;0;0.1091517;99.64809;85.58024;0.459262;201.8873;-0.001199951
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_486.jpg;0;1;0;0.1578979;99.6356;85.57525;0.672931;201.8358;0.0001156409
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_552.jpg;0;1;0;0.2271332;99.61295;85.56619;1.020183;201.9154;-0.0006807256
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_619.jpg;0;1;0;0.2669927;99.5939;85.5586;1.246169;201.9155;-0.0001426139
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_686.jpg;0;1;0;0.3076369;99.57476;85.55099;1.296443;201.8923;-0.001353578
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_753.jpg;0;1;0;0.3881226;99.54684;85.54015;1.160674;201.9868;0.001108799
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_820.jpg;0;0.7994511;0;0.4474429;99.52216;85.53036;1.104043;202.0297;-0.0004479941
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_887.jpg;0;0.5999017;0;0.4918647;99.49475;85.51942;1.088906;201.9434;0.0008055742
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_27_953.jpg;0;0.399433;0;0.5289217;99.45618;85.50394;1.079119;202.079;-1.633132E-05
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_020.jpg;0;0.1995141;0;0.5278817;99.42645;85.49205;1.061805;201.9086;0.001646998
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_086.jpg;0;0;0;0.5452157;99.39716;85.48046;1.013045;201.7395;-0.0001301141
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_153.jpg;0;0;0;0.5438785;99.35821;85.46497;0.9222426;201.7397;-0.0001443064
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_237.jpg;0;0;0;0.5424787;99.32;85.44975;0.795814;201.7393;0.0007119824
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_303.jpg;3.777181;0;0;0.5398511;99.29198;85.43793;0.6815671;201.8341;0.01420521
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_370.jpg;6.749043;0;0;0.537777;99.25555;85.42136;0.5107035;202.1284;0.05209905
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_437.jpg;9.791094;0;0;0.53536;99.22887;85.40826;0.3744415;202.4671;0.09514537
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_504.jpg;12.79012;0;0;0.5315585;99.20271;85.39459;0.2358565;202.8965;0.1490407
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_571.jpg;15;0;0;0.5277614;99.16864;85.37542;0.05306495;203.6039;0.2362198
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_637.jpg;15;0;0;0.5246305;99.14336;85.36073;359.9246;204.151;0.2998807
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_704.jpg;15;0;0;0.5208372;99.11807;85.34587;359.813;204.6953;0.352266
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_770.jpg;15;0;0;0.5175182;99.0842;85.32552;359.7089;205.4253;0.3943515
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_838.jpg;15;0;0;0.5141977;99.05885;85.30979;359.6555;205.9802;0.4152736
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_904.jpg;15;0;0;0.5100778;99.0335;85.29376;359.624;206.5374;0.4233642
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_28_971.jpg;15;0;0;0.5071653;98.99995;85.27183;359.604;207.2871;0.4260897
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_038.jpg;15;0;0;0.5043105;98.97498;85.25504;359.6027;207.8517;0.4221378
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_104.jpg;15;0;0;0.5007605;98.9502;85.238;359.6103;208.4168;0.4141704
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_171.jpg;15;0;0;0.4981357;98.91748;85.21492;359.6304;209.1703;0.3992556
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_238.jpg;11.98998;0;0;0.4960118;98.89285;85.19776;359.6534;209.6539;0.3731509
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_305.jpg;8.971321;0;0;0.4941629;98.86801;85.18088;359.6812;210.045;0.3337373
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_371.jpg;5.974432;0;0;0.4928237;98.83453;85.15896;359.7238;210.4017;0.2597663
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_438.jpg;3.000933;0;0;0.4912457;98.80915;85.14304;359.7575;210.5473;0.1902191
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_504.jpg;0;0;0;0.4888192;98.78359;85.12759;359.7912;210.5953;0.1114716
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_572.jpg;0;0;0;0.48689;98.74952;85.10734;359.8342;210.5965;0.007486658
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_638.jpg;0;0;0;0.4851409;98.72411;85.09223;359.8641;210.5964;359.9372
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_704.jpg;0;0;0;0.4828285;98.69882;85.07719;359.8912;210.5963;359.8745
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_772.jpg;0;0;0;0.4811147;98.66532;85.05726;359.9222;210.5962;359.8036
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_838.jpg;0;0;0;0.4794221;98.64034;85.04241;359.9412;210.5961;359.7604
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_905.jpg;0;0;0;0.4772012;98.6155;85.02765;359.9564;210.596;359.726
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_29_972.jpg;0;0;0;0.4755629;98.5826;85.00811;359.9707;210.5959;359.6935
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_038.jpg;0;0;0;0.473947;98.55809;84.99355;359.9772;210.5958;359.6789
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_105.jpg;0;0;0;0.4718233;98.5337;84.97907;359.9804;210.5956;359.672
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_171.jpg;0;0;0;0.47025;98.50137;84.95989;359.9798;210.5955;359.6741
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_239.jpg;0;0;0;0.4686895;98.47726;84.94559;359.9763;210.5954;359.6833
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_289.jpg;0;0;0;0.4676546;98.45325;84.93137;359.9706;210.5952;359.698
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_356.jpg;0;0;0;0.465593;98.42936;84.91722;359.9633;210.5952;359.7176
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_422.jpg;0;0;0;0.4635364;98.40556;84.90314;359.9546;210.5951;359.7411
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_489.jpg;0;0;0;0.4619936;98.37396;84.88445;359.9417;210.5949;359.7774
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_556.jpg;0;0;0;0.4604485;98.35036;84.8705;359.9316;210.5949;359.807
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_622.jpg;0;0;0;0.4583833;98.32685;84.85659;359.9216;210.5948;359.838
C:\Users\vm\Documents\RoboND-Rover-Project-master\roversim\IMG\robocam_2017_10_06_11_34_30_689.jpg;0;0;0;0.4568299;98.2956;84.83814;359.9087;210.5948;359.88
